Scores,Kenpom/TRank,Stats
Cleveland State,Cleveland St.,
Penn State,Penn St.,
St. Peter's,Saint Peter's,Saint Peter's
Centenary (LA),Centenary,
Alabama State,Alabama St.,
Morehead State,Morehead St.,
Jackson State,Jackson St.,
Southeast Missouri State,Southeast Missouri St.,
Texas A&M-Corpus Christi,Texas A&M Corpus Chris,
Weber State,Weber St.,
Long Beach State,Long Beach St.,Cal State Long Beach
The Citadel,Citadel,
UIC,Illinois Chicago,Illinois-Chicago
Grambling,Grambling St.,
Little Rock,Arkansas Little Rock,
Youngstown State,Youngstown St.,
Jacksonville State,Jacksonville St.,
Murray State,Murray St.,
NC State,North Carolina St.,North Carolina State
NC State,N.C. State,
Oklahoma State,Oklahoma St.,
Cal State Northridge,Cal St. Northridge,
Miami (OH),Miami OH,
UT-Martin,Tennessee Martin,Tennessee-Martin
Albany (NY),Albany,
Gardner-Webb,Gardner Webb,
Tennessee State,Tennessee St.,
Texas-Rio Grande Valley,Texas Pan American,
Alcorn State,Alcorn St.,
Ball State,Ball St.,
UC-Irvine,UC Irvine,UC Irvine
UCSB,UC Santa Barbara,UC Santa Barbara
Bethune-Cookman,Bethune Cookman,
Idaho State,Idaho St.,
Bowling Green State,Bowling Green,
Florida International,FIU,
Georgia State,Georgia St.,
Prairie View,Prairie View A&M,
Utah State,Utah St.,
Miami (FL),Miami FL,
Mississippi State,Mississippi St.,
Morgan State,Morgan St.,
New Mexico State,New Mexico St.,
San Jose State,San Jose St.,
Wichita State,Wichita St.,
Wright State,Wright St.,
Cal State Fullerton,Cal St. Fullerton,
Delaware State,Delaware St.,
Ole Miss,Mississippi,Mississippi
Savannah State,Savannah St.,
Kent State,Kent St.,
Portland State,Portland St.,
UNC,North Carolina,North Carolina
Middle Tennessee,Middle Tennessee St.,
Colorado State,Colorado St.,
UConn,Connecticut,Connecticut
St. Francis (NY),St. Francis NY,
Iowa State,Iowa St.,
Loyola (IL),Loyola Chicago,
Loyola (MD),Loyola MD,
Arkansas-Pine Bluff,Arkansas Pine Bluff,
Kansas State,Kansas St.,
McNeese State,McNeese St.,
Coppin State,Coppin St.,
Arkansas State,Arkansas St.,
Troy,Troy St.,
Mississippi Valley State,Mississippi Valley St.,
Norfolk State,Norfolk St.,
Oregon State,Oregon St.,
South Carolina State,South Carolina St.,
St. John's (NY),St. John's,
UMass,Massachusetts,Massachusetts
Louisiana,Louisiana Lafayette,
Pitt,Pittsburgh,Pittsburgh
Chicago State,Chicago St.,
Michigan State,Michigan St.,
LIU,LIU Brooklyn,Long Island University
Indiana State,Indiana St.,
Texas State,Southwest Texas St.,
Arizona State,Arizona St.,
UC-Riverside,UC Riverside,UC Riverside
Fresno State,Fresno St.,
Missouri State,Southwest Missouri St.,
Nicholls State,Nicholls St.,
Appalachian State,Appalachian St.,
Sacramento State,Sacramento St.,
Montana State,Montana St.,
Saint Francis (PA),St. Francis PA,
St. Joseph's,Saint Joseph's,Saint Joseph's
Florida State,Florida St.,
Louisiana-Monroe,Louisiana Monroe,
Ohio State,Ohio St.,
Maryland-Eastern Shore,Maryland Eastern Shore,
Boise State,Boise St.,
Birmingham-Southern,Birmingham Southern,
ETSU,East Tennessee St.,East Tennessee State
Illinois State,Illinois St.,
Northwestern State,Northwestern St.,
Sam Houston State,Sam Houston St.,
San Diego State,San Diego St.,
Washington State,Washington St.,
Texas State,Texas St.,
UC-Davis,UC Davis,UC Davis
Utah Valley,Utah Valley St.,
South Dakota State,South Dakota St.,
Kennesaw State,Kennesaw St.,
Missouri State,Missouri St.,
North Dakota State,North Dakota St.,
Winston-Salem,Winston Salem St.,
Cal State Bakersfield,Cal St. Bakersfield,
SIU-Edwardsville,SIU Edwardsville,SIU Edwardsville
Omaha,Nebraska Omaha,Omaha
UMass-Lowell,UMass Lowell,Massachusetts-Lowell
Texas-Rio Grande Valley,UT Rio Grande Valley,
Purdue-Fort Wayne,IPFW,Fort Wayne
Purdue-Fort Wayne,Fort Wayne,
Little Rock,Little Rock,
Texas A&M,Texas A&amp;M,
Purdue-Fort Wayne,Purdue Fort Wayne,
California Baptist,Cal Baptist,
Prairie View,Prairie View A&amp;M,
William & Mary,William &amp; Mary,
Texas A&M-Corpus Christi,Texas A&amp;M Corpus Chris,
North Carolina A&T,North Carolina A&amp;T,
Florida A&M,Florida A&amp;M,
Alabama A&M,Alabama A&amp;M,
Tarleton State,Tarleton St.,
Kansas City,UMKC,
College of Charleston,Charleston,
Detroit,Detroit Mercy,
The Citadel,Citadel,
Utah Tech,Dixie St.,Dixie State
BYU,,Brigham Young
Central Connecticut,,Central Connecticut State
UCF,,Central Florida
Detroit,,Detroit Mercy
LSU,,Louisiana State
UMBC,,Maryland-Baltimore County
UMKC,,Missouri-Kansas City
UNLV,,Nevada-Las Vegas
Penn,,Pennsylvania
USC,,Southern California
SMU,,Southern Methodist
Southern Miss,,Southern Mississippi
UTEP,,Texas-El Paso
UTSA,,Texas-San Antonio
VCU,,Virginia Commonwealth
VMI,,Virginia Military Institute
California,,University of California
UNC Asheville,,North Carolina-Asheville
UNC Greensboro,,North Carolina-Greensboro
UNC Wilmington,,North Carolina-Wilmington
Saint Mary's,,Saint Mary's (CA)
USC Upstate,,South Carolina Upstate
TCU,,Texas Christian
Queens (NC),Queens,
UC-San Diego,UC San Diego,UC San Diego
Texas A&M-Commerce,Texas A&M Commerce,
Houston Christian,Houston Baptist,Houston Baptist
St. Thomas,,St. Thomas (MN)
